episode,reward,steps
1,-587,200
2,-569,200
3,-596,200
4,-533,200
5,-524,200
6,-416,200
7,-596,200
8,-587,200
9,-416,200
10,-353,200
11,-380,200
12,-425,200
13,-533,200
14,-254,200
15,-326,200
16,-353,200
17,-524,200
18,-434,200
19,-290,200
20,-578,200
21,-551,200
22,-506,200
23,-387,156
24,-299,200
25,-329,116
26,-380,200
27,-109,85
28,-425,200
29,-335,200
30,-380,200
31,-470,200
32,-308,200
33,-290,200
34,-389,200
35,-461,200
36,-263,200
37,-353,200
38,-288,192
39,-263,200
40,-245,200
41,-185,134
42,-227,200
43,-308,200
44,-272,200
45,-326,200
46,-245,200
47,-254,200
48,-227,200
49,-101,86
50,-254,200
51,-236,200
52,-218,200
53,-272,200
54,-245,200
55,-281,200
56,-245,200
57,-225,147
58,-236,200
59,-272,200
60,-63,57
61,-159,126
62,-147,150
63,-227,200
64,-245,200
65,-317,200
66,-290,200
67,-290,200
68,-208,148
69,-290,200
70,-130,106
71,-254,200
72,-353,200
73,-218,200
74,-254,200
75,-272,200
76,-124,127
77,-380,200
78,-121,106
79,-11,14
80,-214,181
81,-281,200
82,-254,200
83,-272,200
84,-236,200
85,-29,50
86,-197,164
87,-245,200
88,-90,84
89,-389,200
90,-51,63
91,-245,200
92,-254,200
93,-416,200
94,-245,200
95,-250,163
96,-272,200
97,-161,137
98,-29,32
99,-141,126
100,-211,178
101,-353,200
102,-290,200
103,-318,186
104,-247,187
105,-416,200
106,-344,200
107,-214,190
108,-254,200
109,-140,116
110,-236,140
111,-344,200
112,-263,200
113,-245,200
114,-173,104
115,-272,200
116,-167,125
117,-146,122
118,-289,175
119,-308,200
120,-159,135
121,-326,200
122,-167,107
123,-157,142
124,-362,200
125,-84,78
126,-317,200
127,-146,131
128,-188,164
129,-290,200
130,-254,200
131,-149,134
132,-61,55
133,-254,200
134,-19,31
135,-165,132
136,-221,179
137,-263,200
138,-161,128
139,-281,200
140,-131,134
141,-70,91
142,-211,187
143,-195,153
144,-208,175
145,-281,200
146,-335,200
147,-216,183
148,-290,200
149,-122,116
150,10,11
151,-238,169
152,-121,124
153,-177,135
154,-185,143
155,-179,146
156,-264,177
157,-106,109
158,-182,140
159,7,14
160,-227,194
161,-131,125
162,-216,174
163,-201,159
164,-135,120
165,-269,182
166,-172,157
167,-170,110
168,-155,140
169,-178,136
170,-191,149
171,-272,200
172,-139,124
173,-152,137
174,-110,113
175,-371,200
176,-180,174
177,-281,200
178,-128,77
179,-142,109
180,-367,199
181,-227,200
182,-45,57
183,-221,152
184,-67,52
185,-117,84
186,-11,23
187,-28,31
188,-179,110
189,-321,189
190,-132,99
191,-176,152
192,-257,152
193,-130,106
194,-198,165
195,-81,66
196,-118,112
197,8,13
198,-114,108
199,-47,68
200,-243,192
201,-156,150
202,-63,75
203,-101,77
204,-163,139
205,-19,31
206,-119,86
207,0,12
208,-16,28
209,-83,59
210,11,10
211,-238,169
212,-37,58
213,-82,76
214,-13,25
215,-41,53
216,-104,89
217,-265,187
218,6,15
219,-170,137
220,-92,77
221,-65,59
222,-126,120
223,-78,81
224,-189,174
225,-181,157
226,-57,69
227,-310,196
228,-162,156
229,-129,105
230,-39,42
231,-37,31
232,-245,200
233,-130,106
234,-61,82
235,-69,54
236,-143,110
237,-103,88
238,-72,66
239,-45,48
240,-80,74
241,-102,105
242,-111,114
243,-94,97
244,-78,90
245,-141,90
246,-114,99
247,-74,68
248,-85,79
249,-308,200
250,2,19
251,-52,64
252,-10,31
253,-33,36
254,-5,26
255,-193,142
256,-39,51
257,-129,96
258,-162,147
259,-130,124
260,8,13
261,-75,69
262,-344,200
263,-82,94
264,-97,91
265,-78,81
266,4,17
267,-200,167
268,-74,68
269,-51,36
270,-123,99
271,-160,127
272,-12,15
273,-235,175
274,-25,37
275,-52,55
276,-107,101
277,-49,70
278,-40,43
279,10,11
280,-117,111
281,-23,35
282,-3,24
283,-22,25
284,-3,24
285,-123,117
286,10,11
287,-86,98
288,-40,52
289,-179,173
290,-16,19
291,-3,24
292,-154,148
293,-5,17
294,-35,38
295,-144,120
296,-85,61
297,9,12
298,-113,116
299,-43,55
300,-102,105
301,-111,96
302,4,17
303,-164,95
304,-84,78
305,-60,81
306,-86,80
307,-65,77
308,-122,107
309,8,13
310,0,21
311,-134,119
312,-32,44
313,-2,14
314,-18,21
315,-23,26
316,-105,108
317,-119,95
318,-13,25
319,-36,48
320,-57,69
321,-132,99
322,-15,36
323,-82,85
324,-110,104
325,-33,45
326,-23,26
327,-165,114
328,-57,69
329,-125,101
330,-108,66
331,-18,30
332,-75,60
333,-32,44
334,9,12
335,-34,37
336,-76,61
337,-4,25
338,-84,69
339,-78,99
340,13,8
341,-19,31
342,-111,96
343,-158,125
344,-55,58
345,-91,103
346,-55,67
347,-69,81
348,-43,46
349,8,13
350,-70,82
351,-51,54
352,-28,40
353,1,11
354,-37,49
355,5,16
356,-66,51
357,-71,74
358,11,10
359,-2,23
360,-65,68
361,-55,49
362,6,15
363,-69,72
364,-68,62
365,9,12
366,-98,83
367,-39,42
368,-1,22
369,-5,26
370,-155,140
371,-112,88
372,-34,37
373,-43,46
374,-56,59
375,-43,46
376,-5,17
377,-29,32
378,-24,36
379,-101,95
380,-65,68
381,-49,61
382,-54,66
383,-113,62
384,13,8
385,-107,110
386,-70,73
387,-57,51
388,-8,20
389,-3,15
390,-9,30
391,-65,77
392,-93,105
393,-36,39
394,-69,72
395,-13,34
396,-36,39
397,-51,45
398,-139,124
399,-8,29
400,10,11
401,-63,75
402,-59,71
403,-4,16
404,13,8
405,13,8
406,-55,49
407,-12,33
408,-7,19
409,-115,73
410,-73,67
411,6,15
412,-50,35
413,-37,40
414,10,11
415,-32,44
416,-91,85
417,-12,15
418,-59,62
419,-117,84
420,-12,33
421,-24,27
422,-39,51
423,-72,75
424,-117,84
425,-1,13
426,-18,39
427,-22,43
428,-92,77
429,-23,44
430,-6,18
431,15,6
432,5,16
433,-10,31
434,10,11
435,-5,17
436,-91,76
437,7,14
438,-14,35
439,-27,39
440,15,6
441,11,10
442,-46,40
443,-6,27
444,-52,55
445,-146,104
446,-7,19
447,-38,23
448,6,15
449,-52,46
450,-7,28
451,-23,35
452,-19,31
453,0,12
454,-39,33
455,-9,30
456,-112,79
457,-6,18
458,4,8
459,-15,27
460,-6,18
461,-16,28
462,-82,76
463,-61,64
464,-6,18
465,-47,50
466,-72,57
467,13,8
468,10,11
469,8,13
470,-34,55
471,-21,33
472,-40,43
473,2,19
474,-4,16
475,12,9
476,-24,36
477,12,9
478,-4,25
479,-23,26
480,-33,27
481,-12,24
482,-42,45
483,-47,50
484,11,10
485,-13,25
486,-63,57
487,-8,29
488,0,21
489,-100,76
490,-1,13
491,-3,24
492,-45,39
493,-42,54
494,-53,47
495,-15,27
496,-1,13
497,-50,62
498,-5,26
499,-18,30
500,-15,27
501,-12,24
502,6,15
503,-2,23
504,11,10
505,-55,58
506,-65,50
507,-2,14
508,10,11
509,-33,27
510,10,11
511,5,16
512,-27,39
513,2,10
514,9,12
515,0,12
516,-6,27
517,-4,25
518,-2,14
519,-21,33
520,9,12
521,-12,33
522,7,14
523,-27,48
524,-9,21
525,11,10
526,2,19
527,-70,73
528,-49,61
529,10,11
530,9,12
531,-3,15
532,10,11
533,-11,32
534,-2,14
535,2,19
536,2,19
537,-27,39
538,-37,40
539,-20,32
540,9,12
541,-14,26
542,-4,25
543,-5,17
544,1,20
545,0,21
546,-10,22
547,-9,30
548,-52,55
549,-22,25
550,-60,54
551,1,20
552,2,10
553,-82,67
554,12,9
555,4,17
556,-51,54
557,-35,38
558,-16,28
559,-5,17
560,0,12
561,-27,30
562,-14,26
563,2,10
564,7,14
565,-36,39
566,-1,13
567,7,14
568,7,14
569,-6,18
570,-3,15
571,-73,67
572,11,10
573,10,11
574,-5,26
575,10,11
576,-23,44
577,-35,29
578,-25,28
579,-58,43
580,2,19
581,-1,13
