episode,reward,steps
1,-551,200
2,-560,200
3,-578,200
4,-542,200
5,-551,200
6,-371,200
7,-569,200
8,-533,200
9,-497,200
10,-344,200
11,-389,200
12,-326,200
13,-497,200
14,-425,200
15,-470,200
16,-362,200
17,-578,200
18,-366,144
19,-398,200
20,-362,200
21,-308,200
22,-371,200
23,-272,200
24,-533,200
25,-254,200
26,-263,200
27,-479,200
28,-245,200
29,-281,200
30,-287,191
31,-195,126
32,-199,85
33,-227,200
34,-281,200
35,-263,200
36,-272,200
37,-254,200
38,-308,200
39,-479,200
40,-263,200
41,-272,200
42,-133,100
43,-281,200
44,-254,200
45,-253,157
46,-72,57
47,-254,200
48,-216,183
49,-227,200
50,-254,200
51,-326,200
52,-227,200
53,-569,200
54,-245,200
55,-398,200
56,-317,200
57,-317,200
58,-245,200
59,-344,200
60,-524,200
61,-299,200
62,-233,200
63,-326,200
64,-416,200
65,-551,200
66,-205,154
67,-188,155
68,-353,200
69,-344,200
70,-272,200
71,-299,200
72,-272,200
73,-245,200
74,-254,200
75,-281,200
76,-263,200
77,-317,200
78,-245,200
79,-125,56
80,-254,200
81,-254,200
82,-183,159
83,-308,200
84,-2,14
85,-109,121
86,-299,200
87,-245,200
88,-94,97
89,-335,200
90,-174,159
91,-167,134
92,-254,200
93,-281,200
94,-171,129
95,-245,200
96,-263,200
97,-344,200
98,-236,200
99,-212,179
100,-245,200
101,-227,200
102,-10,22
103,-263,200
104,-290,200
105,-93,87
106,-389,200
107,-272,200
108,-212,98
109,-254,200
110,-245,200
111,-254,200
112,-194,152
113,-281,200
114,-227,200
115,-335,200
116,-326,200
117,-272,200
118,-281,200
119,-97,82
120,-218,200
121,-365,188
122,-299,200
123,-154,121
124,-289,157
125,-398,200
126,-281,200
127,-215,200
128,-290,200
129,-299,200
130,-254,200
131,-263,200
132,-317,200
133,-326,200
134,-272,200
135,-74,77
136,-398,200
137,-326,200
138,-230,179
139,-272,200
140,-53,56
141,-308,200
142,-197,182
143,-231,189
144,-272,200
145,-245,200
146,-290,200
147,-281,200
148,-281,200
149,-263,200
150,10,11
151,-308,200
152,-76,70
153,-290,176
154,-190,148
155,-317,200
156,-232,190
157,-103,79
158,-245,200
159,-319,196
160,-218,200
161,-203,179
162,-179,137
163,-281,200
164,-232,172
165,-180,138
166,-290,200
167,-278,173
168,-1,13
169,-245,200
170,-108,111
171,-278,191
172,-134,119
173,-202,178
174,-245,200
175,-64,67
176,-192,141
177,-371,200
178,-212,161
179,-5,17
180,-254,200
181,-246,177
182,-299,200
183,-236,200
184,-272,200
185,-170,119
186,-254,200
187,-135,111
188,-245,200
189,-128,122
190,-299,200
191,-326,200
192,-66,60
193,-380,200
194,-122,125
195,-308,200
196,-281,200
197,-14,17
198,-193,160
199,-170,146
200,-95,98
201,-107,92
202,-254,200
203,-179,137
204,-207,183
205,-335,200
206,-263,200
207,-110,113
208,-272,200
209,-139,124
210,-115,91
211,-182,122
212,-97,100
213,10,11
214,-254,200
215,-371,200
216,-290,200
217,-308,200
218,-201,186
219,-353,200
220,-218,167
221,-258,180
222,-245,200
223,-139,115
224,-155,131
225,-90,84
226,-75,78
227,-362,200
228,-317,200
229,-246,195
230,-40,52
231,-115,100
232,-67,79
233,-264,195
234,-171,156
235,-57,69
236,-263,200
237,-115,118
238,-210,132
239,-317,200
240,-73,85
241,-138,114
242,-39,60
243,-206,119
244,-89,92
245,-187,163
246,-51,63
247,-227,200
248,-253,193
249,-201,123
250,-245,200
251,-308,200
252,-34,37
253,-69,90
254,-326,200
255,-299,200
256,-68,80
257,-308,200
258,-6,18
259,-272,200
260,-193,151
261,-28,40
262,-70,64
263,-214,181
264,-190,157
265,-5,17
266,-185,143
267,-72,84
268,-263,200
269,-217,184
270,-20,41
271,-211,178
272,-125,101
273,-161,128
274,-238,178
275,-272,200
276,2,19
277,-299,200
278,-21,24
279,-109,103
280,-192,132
281,-180,174
282,-168,144
283,-272,200
284,-272,200
285,-326,200
286,-90,75
287,-4,25
288,-80,65
289,-174,159
290,-136,121
291,-21,42
292,-254,200
293,-18,30
294,-61,55
295,-235,175
296,-84,78
297,-109,85
298,-131,125
299,-159,126
300,-71,65
301,-213,162
302,-20,23
303,-164,140
304,-263,200
305,3,9
306,-63,66
307,-208,148
308,-254,200
309,-105,90
310,-20,32
311,-142,109
312,-195,144
313,-271,184
314,-66,78
315,-164,122
316,-160,127
317,-44,47
318,-206,164
319,-236,200
320,-141,126
321,-94,79
322,9,12
323,-121,97
324,-308,200
325,-36,48
326,-125,119
327,-184,142
328,-263,200
329,-65,68
330,-130,106
331,-68,71
332,-137,113
333,-227,194
334,-206,173
335,-105,108
336,-272,200
337,-144,102
338,-265,187
339,-290,200
340,-31,43
341,-152,92
342,0,21
343,-146,131
344,-40,61
345,-272,200
346,-124,127
347,-114,99
348,-255,177
349,-236,200
350,-126,102
351,-9,21
352,4,17
353,-272,200
354,-154,130
355,-137,131
356,-229,169
357,13,8
358,-111,78
359,-106,82
360,-73,58
361,-133,127
362,-129,123
363,-102,96
364,-95,107
365,-152,128
366,-86,80
367,3,9
368,2,10
369,-132,108
370,-290,200
371,-110,77
372,-196,163
373,-290,200
374,-92,77
375,-18,21
376,-98,83
377,-41,62
378,-27,39
379,-251,191
380,-20,32
381,-182,140
382,7,14
383,-317,200
384,-236,200
385,6,15
386,-135,102
387,-136,139
388,-43,55
389,-86,80
390,-88,100
391,-6,27
392,-183,150
393,-170,137
394,-145,130
395,7,14
396,-120,87
397,-30,42
398,-78,54
399,-23,26
400,-155,122
401,-111,105
402,-203,152
403,-251,200
404,-133,136
405,-102,96
406,-152,119
407,-24,27
408,-248,179
409,-83,86
410,-47,41
411,-107,110
412,-154,139
413,-138,114
414,-120,114
415,1,20
416,-67,79
417,-106,100
418,-12,24
419,-184,169
420,-166,115
421,-150,126
422,-43,64
423,-17,29
424,-60,72
425,-23,35
426,-59,62
427,-60,63
428,-194,161
429,-65,68
430,-213,180
431,-126,102
432,-71,83
433,-9,21
434,-198,156
435,-123,108
436,-63,66
437,-117,111
438,-21,24
439,-119,113
440,-235,184
441,-152,137
442,-75,87
443,-133,127
444,-232,172
445,-97,82
446,-18,30
447,-134,101
448,-103,106
449,-90,84
450,-27,30
451,-67,61
452,-90,84
453,-36,39
454,-52,46
455,-121,115
456,11,10
457,-164,131
458,-40,34
459,-67,70
460,-119,95
461,-194,152
462,-254,200
463,-217,193
464,-113,89
465,-13,34
466,-45,48
467,-38,50
468,-199,175
469,-254,200
470,-94,106
471,-5,17
472,-58,52
473,11,10
474,-74,86
475,-227,200
476,-24,36
477,-172,130
478,-50,44
479,-82,94
480,4,17
481,-57,51
482,-67,52
483,-173,131
484,-53,56
485,3,18
486,3,18
487,-30,24
488,-201,141
489,-184,142
490,-134,101
491,-4,16
492,8,13
493,-21,42
494,-28,31
495,-63,66
496,-49,61
497,-96,90
498,-15,36
499,-29,41
500,-135,129
501,-109,94
502,-58,52
503,1,11
504,-3,15
505,-146,113
506,-42,54
507,-5,17
508,-199,139
509,-188,137
510,-172,139
511,-142,109
512,-148,115
513,13,8
514,-116,119
515,-43,46
516,-62,65
517,-109,85
518,-21,33
519,-119,104
520,-58,52
521,-176,134
522,-18,30
523,-14,26
524,-58,52
525,-65,59
526,-45,48
527,-46,58
528,-57,60
529,-157,124
530,11,10
531,4,17
532,-85,70
533,-16,19
534,8,13
535,-19,31
536,-245,200
537,-122,71
538,-18,21
539,-158,134
540,-129,114
541,-148,133
542,1,11
543,-159,135
544,-116,92
545,-3,15
546,-14,26
547,0,21
548,-8,20
549,-83,77
550,-117,84
551,-117,93
552,-35,56
553,12,9
554,-2,14
555,-7,28
556,-245,194
557,-37,40
558,11,10
559,-15,18
560,15,6
561,-121,124
562,-103,79
563,-4,16
564,-49,61
565,-66,69
566,-5,17
567,10,11
568,-40,61
569,-21,42
570,12,9
571,-97,91
572,-39,42
573,-56,59
574,-95,62
575,-1,22
576,-9,21
577,-165,141
578,-68,80
579,-39,42
580,7,14
581,-1,22
582,-81,66
583,-47,41
584,-34,37
585,-5,17
586,-135,111
587,-2,23
588,11,10
589,-54,57
590,6,15
591,-31,34
592,-122,98
593,-254,200
594,8,13
595,11,10
596,-82,94
597,-110,113
598,-63,57
599,-17,38
600,-89,92
601,-64,67
602,-54,66
603,-6,9
604,-17,29
605,-1,13
606,-34,28
607,10,11
608,-45,39
609,-75,33
610,-13,25
611,-188,137
612,-3,15
613,-122,89
614,-72,75
615,-38,50
616,-104,80
617,-29,41
618,-113,107
619,-135,111
620,-102,114
621,12,9
622,9,12
623,-116,101
624,-19,31
625,-68,71
626,-81,93
627,-53,47
628,-190,148
629,-19,22
630,-10,22
631,12,9
632,-1,13
633,-24,36
634,-67,70
635,-51,72
636,-32,44
637,-111,123
638,-4,16
639,-61,55
640,1,11
641,10,11
642,-8,20
643,-77,80
644,-57,33
645,-81,84
646,-33,36
647,2,19
648,-28,40
649,-9,12
650,-8,29
651,-2,23
652,-126,93
653,13,8
654,0,12
655,-218,185
656,5,16
657,-39,42
658,-144,129
659,-66,60
660,-70,73
661,-34,46
662,-51,72
663,-16,28
664,1,11
665,-178,154
666,-9,21
667,-50,53
668,-57,60
669,-108,102
670,-77,62
671,9,12
672,11,10
673,-20,32
674,-1,22
675,7,14
676,4,17
677,-45,57
678,-39,24
679,-34,55
680,11,10
681,-93,60
682,10,11
683,-39,60
684,-63,57
685,-59,62
686,-123,117
687,-146,122
688,-56,68
689,-95,107
690,8,13
691,-152,101
692,-15,27
693,-68,62
694,-93,87
695,13,8
696,-3,24
697,10,11
698,-97,91
699,-4,25
700,-38,50
701,7,14
702,-72,75
703,-96,72
704,-86,98
705,11,10
706,4,17
707,-28,49
708,-73,67
709,-23,26
710,-37,31
711,-24,27
712,-90,84
713,-31,34
714,10,11
715,-11,23
716,13,8
717,-58,61
718,-73,76
719,-36,48
720,-63,75
721,-136,121
722,-101,86
723,9,12
724,-46,40
725,11,10
726,-83,77
727,10,11
728,-59,71
729,-12,33
730,-84,87
731,-23,44
732,-46,40
733,-44,47
734,-22,25
735,-17,29
736,-22,43
737,-1,22
738,-5,17
739,-63,75
740,-113,98
741,9,12
742,0,12
743,9,12
744,-3,24
745,11,10
746,-80,56
747,-104,80
748,-51,54
749,13,8
750,-44,38
751,-3,24
752,-9,30
753,-16,28
754,-13,34
755,-19,31
756,8,13
757,-24,45
758,-4,16
759,-21,33
760,-9,30
761,-19,31
762,-42,45
763,3,9
764,-14,35
765,6,15
766,-15,27
767,-13,25
768,-28,40
769,-94,88
770,0,21
771,13,8
772,-9,21
773,-51,54
774,14,7
775,-52,46
776,-1,13
777,-60,45
778,-71,65
779,-1,13
780,2,10
781,6,15
782,12,9
783,-48,51
784,-130,88
785,-55,76
786,-47,41
787,-57,60
788,6,15
789,11,10
790,-11,32
791,-15,36
792,6,15
793,-20,23
794,-5,17
795,-76,88
796,-79,82
797,-3,24
798,-5,26
799,8,13
800,8,13
801,-93,96
802,-1,13
803,-9,21
804,5,16
805,13,8
806,-52,46
807,8,13
808,13,8
809,-147,114
810,-157,124
811,10,11
812,-1,13
813,-120,96
814,-30,33
815,0,12
816,-14,26
817,-14,26
818,-86,80
819,-68,53
820,3,9
821,3,18
822,-24,45
823,-17,38
824,-15,36
825,-4,16
826,-27,48
827,-19,31
828,-7,19
829,9,12
830,14,7
831,-76,79
832,-12,15
833,6,15
834,-54,57
835,5,16
836,-9,12
837,-18,21
838,9,12
839,11,10
840,-23,26
841,-47,41
842,-36,30
843,-2,23
844,10,11
845,-5,17
846,10,11
847,-1,22
848,-52,55
849,-73,76
850,-28,40
851,-92,77
852,-3,24
853,2,19
854,-177,108
855,-24,36
856,-36,48
857,9,12
858,10,11
859,-19,13
860,-16,28
861,2,19
862,-110,86
863,-2,14
864,3,18
865,-17,29
866,-20,32
867,-27,30
868,-54,48
869,-14,26
870,-43,64
871,-60,72
872,-20,32
873,9,12
874,-14,26
875,-155,140
876,-22,34
877,-24,45
878,-68,71
879,-53,56
880,11,10
881,-9,21
882,2,19
883,11,10
884,10,11
885,-5,17
886,-21,33
887,-6,27
888,10,11
889,-110,77
890,2,10
891,-38,50
892,13,8
893,2,19
894,11,10
895,-58,43
896,-51,63
897,9,12
898,-12,33
899,-61,46
900,5,16
901,-51,36
902,11,10
903,-23,44
904,12,9
905,5,16
906,0,12
907,-1,22
908,-7,19
909,-13,25
910,-109,76
911,-38,50
912,0,12
913,-18,30
914,-92,77
915,10,11
916,7,14
917,-8,20
918,-22,43
919,7,14
920,-8,11
921,2,19
922,1,11
923,-4,25
924,0,12
925,-13,25
926,10,11
927,-12,15
928,-60,63
929,7,14
930,-17,29
931,-17,29
932,-37,49
933,-29,41
934,-3,15
935,9,12
936,-53,56
937,10,11
938,-33,45
939,3,18
940,-7,19
941,3,18
942,-9,30
943,-20,41
944,3,18
945,1,20
946,1,11
947,9,12
948,-44,47
949,1,20
950,-74,59
951,6,15
952,10,11
953,6,15
954,11,10
955,5,16
956,-46,49
957,14,7
958,-10,22
959,-18,21
960,-67,70
961,-16,28
962,1,20
963,-9,30
964,-32,44
965,-26,38
966,-49,52
967,-27,30
968,-35,29
969,-6,18
970,-15,27
971,8,13
972,8,13
973,6,15
974,-5,26
975,0,21
976,-2,23
977,-16,28
978,-10,31
979,-41,62
980,7,14
981,-100,67
982,10,11
983,-11,32
984,-47,50
985,4,17
986,-18,39
987,11,10
988,11,10
989,-56,59
990,-70,64
991,12,9
992,10,11
993,-13,16
994,3,18
995,-16,28
996,8,13
997,-3,15
998,-81,75
999,10,11
1000,2,19
1001,-8,29
1002,-109,112
1003,-45,30
1004,-9,21
1005,9,12
1006,-21,33
1007,-32,35
1008,-66,60
1009,-17,29
1010,7,14
1011,-44,56
1012,-24,27
1013,-15,27
1014,5,16
1015,8,13
1016,2,10
1017,3,18
1018,-10,22
1019,-32,35
1020,2,19
1021,9,12
1022,6,15
1023,-14,17
1024,13,8
1025,3,18
1026,-23,26
1027,10,11
1028,5,16
1029,-57,60
1030,-6,18
1031,-4,16
1032,9,12
1033,-35,38
1034,-6,18
1035,-1,13
1036,10,11
1037,6,15
1038,-4,16
1039,-53,47
1040,-1,13
1041,-1,22
1042,6,15
