episode,reward,steps
1,-587,200
2,-587,200
3,-560,200
4,-596,200
5,-524,200
6,-452,200
7,-605,200
8,-497,200
9,-470,200
10,-533,200
11,-461,200
12,-443,200
13,-569,200
14,-425,200
15,-333,111
16,-515,200
17,-542,200
18,-425,200
19,-623,200
20,-362,200
21,-434,200
22,-416,200
23,-452,200
24,-596,200
25,-344,200
26,-380,200
27,-451,193
28,-362,200
29,-470,200
30,-506,200
31,-225,111
32,-515,200
33,-587,200
34,-353,200
35,-371,200
36,-686,200
37,-398,200
38,-335,200
39,-587,200
40,-425,200
41,-416,200
42,-452,200
43,-389,200
44,-398,200
45,-407,200
46,-335,200
47,-434,200
48,-371,200
49,-326,200
50,-425,200
51,-401,188
52,-353,200
53,-389,200
54,-434,200
55,-362,200
56,-371,200
57,-407,200
58,-371,200
59,-362,200
60,-398,200
61,-371,200
62,-353,200
63,-326,200
64,-82,58
65,-363,186
66,-344,200
67,-407,200
68,-362,200
69,-398,200
70,-206,119
71,-335,200
72,-371,200
73,-249,135
74,-365,161
75,-317,200
76,-335,200
77,-416,200
78,-175,106
79,-104,62
80,-389,200
81,-326,200
82,-398,200
83,-407,200
84,-389,200
85,-434,200
86,-434,200
87,-515,200
88,-335,200
89,-82,76
90,-315,183
91,-461,200
92,-372,186
93,-362,200
94,-398,200
95,-189,102
96,-362,200
97,-416,200
98,-389,200
99,-353,200
100,-317,200
101,-335,200
102,-407,200
103,-389,200
104,-416,200
105,-344,200
106,-317,200
107,-335,200
108,-407,200
109,-362,200
110,-371,200
111,-425,200
112,-344,200
113,-167,116
114,-290,200
115,-380,200
116,-371,200
117,-380,200
118,-416,200
119,-389,200
120,-48,42
121,-263,158
122,-416,200
123,-407,200
124,-371,200
125,-398,200
126,-75,78
127,-346,187
128,-380,200
129,-324,174
130,-347,152
131,-452,200
132,-362,200
133,-308,200
134,-328,196
135,-265,178
136,-285,162
137,-314,173
138,-299,200
139,-314,173
140,-326,200
141,-308,200
142,-398,200
143,-318,186
144,-308,200
145,-389,200
146,-281,200
147,-416,200
148,-380,200
149,-407,200
150,-461,200
151,-371,200
152,-443,200
153,-209,122
154,-353,200
155,-140,98
156,-210,132
157,-282,177
158,-353,200
159,-116,74
160,-389,200
161,-276,153
162,-141,90
163,-389,200
164,-161,74
165,-371,200
166,-81,48
167,-380,200
168,-389,200
169,-344,200
170,-130,88
171,-317,200
172,-350,200
173,-335,200
174,-315,174
175,-371,200
176,-51,45
177,-156,78
178,-362,200
179,-135,75
180,-335,200
181,-326,200
182,-362,200
183,-367,199
184,-362,200
185,-254,131
186,-380,200
187,-299,200
188,-389,200
189,-196,145
190,-371,200
191,-452,200
192,-86,53
193,-83,59
194,-113,80
195,-299,158
196,-101,59
197,-380,200
198,-131,98
199,-287,191
200,-380,200
201,-371,200
202,-344,200
