episode,reward,steps
1,-578,200
2,-605,200
3,-542,200
4,-524,200
5,-533,200
6,-470,200
7,-596,200
8,-560,200
9,-407,200
10,-479,200
11,-308,200
12,-290,200
13,-533,200
14,-254,200
15,-407,200
16,-389,200
17,-560,200
18,-398,200
19,-461,200
20,-533,200
21,-551,200
22,-551,200
23,-317,200
24,-461,200
25,-416,185
26,-407,200
27,-245,200
28,-290,200
29,-263,200
30,-425,200
31,-87,90
32,-344,200
33,-290,200
34,-362,200
35,-136,121
36,-255,168
37,-67,43
38,-362,200
39,-299,200
40,-245,200
41,-275,197
42,-281,200
43,-245,200
44,-281,200
45,-263,200
46,-290,200
47,-371,200
48,-236,200
49,-108,102
50,-290,200
51,-254,200
52,-236,200
53,-227,200
54,-254,200
55,-190,166
56,-257,179
57,-173,140
58,-164,140
59,-290,200
60,-254,200
61,-236,200
62,-281,200
63,-254,200
64,-227,200
65,-218,200
66,-281,200
67,-263,200
68,-398,200
69,-272,200
70,-178,154
71,-196,154
72,-200,167
73,-272,200
74,-245,200
75,-245,200
76,-306,192
77,-281,200
78,-236,200
79,-232,154
80,-12,24
81,-254,200
82,-175,142
83,-308,200
84,-263,200
85,-290,200
86,-272,200
87,-254,200
88,-332,182
89,-272,200
90,-150,153
91,-257,170
92,-21,42
93,-199,130
94,-308,200
95,-254,200
96,-223,145
97,-218,95
98,-215,173
99,-117,120
100,-192,195
101,-245,200
102,-172,175
103,-115,109
104,-135,129
105,-254,185
106,-169,172
107,-380,200
108,-236,200
109,-109,103
110,-141,135
111,-141,135
112,-18,30
113,-236,200
114,-407,200
115,-208,175
116,-236,200
117,-281,200
118,-25,46
119,-148,124
120,-152,119
121,-32,35
122,-254,200
123,-86,98
124,-20,23
125,-211,160
126,-452,200
127,-281,200
128,-242,200
129,-245,158
130,-83,95
131,-236,200
132,-326,200
133,-110,104
134,-198,165
135,-118,76
136,-317,200
137,-180,138
138,-407,200
139,-245,200
140,-125,110
141,-237,141
142,-45,48
143,-150,126
144,-42,54
145,-6,18
146,-128,104
147,-200,185
148,-191,167
149,-371,200
150,-71,83
151,-31,43
152,-8,29
153,-254,200
154,-9,30
155,-339,180
156,-209,185
157,-380,200
158,-143,128
159,-1,13
160,-188,155
161,-93,87
162,-209,200
163,-178,82
164,-263,200
165,-398,200
166,-171,120
167,-171,138
168,-94,79
169,-263,200
170,-299,200
171,-78,81
172,-174,186
173,-149,125
174,-156,132
175,-153,111
176,-147,105
177,-36,39
178,-234,156
179,-267,135
180,-8,29
181,-245,200
182,-187,127
183,-127,139
184,-75,78
185,-317,200
186,-171,138
187,-124,100
188,-171,147
189,-188,155
190,-118,103
191,-93,78
192,-5,17
193,-2,14
194,-33,54
195,-277,154
196,-158,134
197,-61,64
198,5,16
199,-247,178
200,-171,165
201,-60,54
202,-64,58
203,-42,54
204,11,10
205,-29,41
206,-78,81
207,-205,172
208,-244,184
209,-47,50
210,-272,200
211,-132,90
212,-281,200
213,-63,57
214,-112,106
215,-233,128
216,5,7
217,-39,60
218,-53,56
219,-362,200
220,-43,37
221,-188,173
222,-174,132
223,13,8
224,-205,154
225,-128,122
226,-167,170
227,-129,114
228,-184,160
229,-148,79
230,-35,38
231,5,16
232,-203,170
233,-99,66
234,-123,99
235,-166,124
236,-59,71
237,-20,32
238,-134,119
239,-169,145
240,-75,69
241,-12,24
242,-58,52
243,-53,56
244,-105,63
245,12,9
246,-32,44
247,-37,31
248,-72,75
249,-59,62
250,-22,43
251,9,12
252,-8,29
253,-138,105
254,-86,71
255,-86,98
256,-45,48
257,-223,154
258,-234,156
259,-132,117
260,-18,39
261,-82,76
262,-2,23
263,-65,68
264,-11,23
265,-96,63
266,-12,33
267,-290,200
268,-47,59
269,-123,117
270,-11,23
271,-194,134
272,-17,38
273,-120,87
274,-54,57
275,-24,36
276,10,11
277,-108,93
278,-275,161
279,-79,82
280,-31,34
281,-105,99
282,-1,22
283,-40,43
284,-21,33
285,-122,107
286,-84,78
287,-86,89
288,-24,36
289,-25,37
290,12,9
291,-137,95
292,-145,112
293,-21,42
294,-143,110
295,-145,121
296,1,20
297,11,10
298,-36,48
299,3,18
300,-22,43
301,-61,73
302,-105,90
303,11,10
304,-55,49
305,2,10
306,-58,52
307,-74,77
308,-20,23
309,-91,67
310,1,11
311,-107,110
312,-86,80
313,-187,154
314,0,21
315,-110,86
316,-15,36
317,1,20
318,-68,71
319,-96,81
320,-93,96
321,-6,27
322,-198,183
323,-45,57
324,-85,79
325,11,10
326,-62,74
327,-19,40
328,-8,20
329,-156,123
330,-1,13
331,-106,73
332,-272,200
333,14,7
334,-70,82
335,12,9
336,-111,69
337,6,15
338,10,11
339,-6,27
340,-12,15
341,-68,44
342,-65,50
343,-22,34
344,-154,130
345,-61,46
346,-92,104
347,14,7
348,-19,22
349,-5,26
350,-20,32
351,-20,32
352,-28,40
353,-111,123
354,-52,28
355,12,9
356,-35,47
357,-41,44
358,-130,106
359,-46,40
360,14,7
361,-33,54
362,-44,47
363,-92,86
364,-3,24
365,-85,88
366,6,15
367,-17,38
368,-51,54
369,8,13
370,-76,70
371,-46,58
372,-227,158
373,-17,20
374,-50,35
375,4,17
376,-50,35
377,-153,129
378,-200,167
379,-62,65
380,9,12
381,-90,84
382,-42,45
383,-40,34
384,15,6
385,11,10
386,-78,81
387,-8,20
388,-32,53
389,-96,99
390,-21,33
391,0,21
392,-4,16
393,6,15
394,-42,63
395,-16,28
396,-89,101
397,-60,72
398,-45,57
399,-24,36
400,-70,64
401,-15,18
402,-44,47
403,-41,44
404,-40,43
405,-16,37
406,4,17
407,-4,16
408,-17,29
409,-38,59
410,-62,56
411,-192,141
412,-38,50
413,6,15
414,-7,28
415,-17,38
416,7,14
417,12,9
418,-35,47
419,9,12
420,11,10
421,-84,78
422,-135,111
423,11,10
424,7,14
425,-80,74
426,-15,18
427,-10,31
428,-34,37
429,-44,47
430,-28,22
431,7,14
432,-16,28
433,-16,28
434,-58,70
435,-5,17
436,-16,28
437,-39,51
438,-76,70
439,-18,30
440,-2,14
441,-11,23
442,2,19
443,4,17
444,-104,98
445,-51,54
446,-38,41
447,-91,67
448,-1,22
449,-13,25
450,-54,66
451,8,13
452,-35,47
453,8,13
454,1,11
455,-1,13
456,-10,22
457,2,19
458,8,13
459,1,11
460,-53,74
461,-26,38
462,-94,79
463,-9,21
464,-74,77
465,10,11
466,12,9
467,-10,22
468,6,15
469,-16,28
470,2,10
471,-109,94
472,-13,16
473,-125,92
474,14,7
475,3,18
476,10,11
477,6,15
478,-40,34
479,-19,22
480,-3,24
481,-66,69
482,1,20
483,-68,71
484,12,9
485,4,17
486,6,15
487,-116,92
488,-8,29
489,6,15
490,-16,28
491,-1,22
492,-13,25
493,-24,36
494,-12,24
495,-112,97
496,-20,41
497,-32,53
498,11,10
499,-59,53
500,7,14
501,-18,30
502,1,11
503,-20,32
504,-63,66
505,5,16
506,-52,73
507,-47,32
508,4,8
509,6,15
510,3,18
511,-8,20
512,-8,20
513,0,21
514,-31,34
515,-31,34
516,8,13
517,7,14
518,-29,32
519,-10,22
520,-7,19
521,-10,13
522,-16,28
523,-8,20
524,-43,46
525,-74,77
526,-1,13
527,8,13
528,-65,68
529,4,17
530,-22,34
531,-60,54
532,1,11
533,9,12
534,13,8
535,9,12
536,-2,14
537,-14,26
538,-6,27
539,-7,19
540,-9,30
541,-22,25
542,-1,13
543,-9,21
544,11,10
545,11,10
546,5,16
547,8,13
548,-12,24
549,-42,45
550,1,20
551,-11,23
552,-35,47
553,12,9
554,-46,31
555,-109,67
556,15,6
557,-33,45
558,10,11
559,8,13
560,9,12
561,-40,34
562,-6,18
563,1,20
564,-33,27
565,-11,23
566,0,21
567,-28,31
568,-11,23
569,4,17
570,10,11
571,10,11
572,-23,26
573,8,13
574,-22,43
575,-10,22
576,-3,15
577,-4,25
578,0,12
579,-21,24
580,-28,31
581,-1,13
582,-9,21
583,11,10
584,-27,30
585,8,13
586,-22,43
587,-46,31
588,-5,17
589,4,17
590,10,11
591,14,7
592,5,16
593,3,18
594,8,13
595,-11,14
596,3,18
597,2,19
598,-33,36
599,-21,33
600,9,12
601,-7,19
602,10,11
603,0,12
604,-8,20
605,-19,22
606,-11,23
607,9,12
608,-1,13
609,14,7
610,-19,31
611,-15,27
612,-4,25
613,7,14
614,-13,25
615,-18,30
616,0,21
617,-17,29
618,-9,21
619,12,9
620,10,11
621,1,20
622,-30,33
623,-5,17
624,-4,16
625,-5,17
626,6,15
627,9,12
628,-43,46
629,-1,13
630,10,11
631,-13,25
632,-12,24
633,2,19
634,-2,23
635,-8,20
636,13,8
637,11,10
638,6,15
639,10,11
640,-25,28
641,-4,25
642,4,17
643,2,19
644,9,12
645,1,20
646,-11,32
647,-1,13
648,-8,20
649,-3,15
650,-27,30
651,5,16
652,7,14
653,-7,28
654,-1,13
655,5,16
656,-54,48
657,9,12
658,-28,40
659,9,12
660,-6,27
661,11,10
662,11,10
663,7,14
664,10,11
665,13,8
666,5,16
667,-10,31
668,-7,19
669,5,16
670,-3,15
671,-28,49
672,-1,13
673,8,13
674,-11,23
675,-2,23
676,-1,22
677,10,11
678,-3,24
679,-80,56
680,6,15
681,0,12
682,7,14
683,14,7
684,-1,13
685,11,10
686,12,9
687,11,10
688,-13,25
689,8,13
690,12,9
691,2,19
692,4,17
693,-8,11
694,-10,22
695,-26,29
696,-19,22
697,-2,14
698,7,14
699,14,7
700,4,17
701,11,10
702,-17,20
703,-5,17
704,-12,15
705,-13,16
706,-42,54
707,-4,16
708,2,19
709,0,21
710,-16,19
711,-1,13
712,-3,15
713,8,13
714,8,13
715,-15,36
716,-42,27
717,-17,20
718,4,17
719,-4,16
720,1,20
721,8,13
722,-13,25
723,5,16
724,-12,24
725,3,18
726,-8,20
727,-13,25
728,-22,25
729,-15,27
730,-16,37
731,11,10
732,5,16
733,-21,42
734,1,20
735,-2,14
736,0,21
737,-1,13
738,-4,16
739,-8,11
740,2,19
741,-1,13
742,13,8
743,5,16
744,-6,18
745,-1,13
746,0,12
747,-10,13
748,-22,34
749,3,18
750,12,9
751,10,11
752,-12,24
753,9,12
754,9,12
755,-19,31
756,11,10
757,9,12
758,3,18
759,0,21
760,-19,22
761,-31,34
762,-24,27
763,-69,81
764,5,16
765,-4,25
766,5,16
767,-5,17
768,-27,21
769,10,11
770,-11,23
771,-5,17
772,8,13
773,5,16
774,2,19
775,4,17
776,10,11
777,-18,21
778,-13,25
779,6,15
780,7,14
781,0,12
782,5,16
783,10,11
784,5,16
785,-8,20
786,10,11
787,-7,19
788,6,15
789,-1,13
790,7,14
791,5,16
792,0,12
793,1,11
794,10,11
795,1,20
796,8,13
797,7,14
798,2,19
799,2,19
800,-3,15
801,-22,16
802,3,9
803,13,8
804,7,14
805,-4,16
806,-17,20
807,2,19
808,9,12
809,7,14
810,9,12
811,-21,33
812,3,18
813,-1,22
814,0,21
815,-15,18
816,3,18
817,13,8
818,-37,31
819,7,14
820,3,18
821,9,12
822,3,18
823,-2,14
824,4,17
825,-8,20
826,12,9
827,9,12
828,10,11
829,10,11
830,9,12
831,9,12
832,-15,27
833,4,17
834,-18,21
835,-4,16
836,0,21
837,-23,26
838,5,16
839,7,14
840,6,15
